,고유번호,구명,법정동명,산지여부,주지번,부지번,새주소명,시설명,운영기관,설립주체,시설구분,개관일,면적,홈페이지주소,연락처,생성일,lat,lon
36,59,강북구,수유동,1,605,412,강북구 삼양로 301,수유 문화정보센터,강북구 도시관리공단, ,구립도서관,2010-08-11,971.6,www.gangbuklib.seoul.kr,944-3170 (9443171), ,325070.7264883286,4166622.956998154
37,60,양천구,신월동,1,52,2,양천구 화곡로4길 10,신월5동 도서관,양천구 (신월5동 주민센터), ,구립도서관,2010-12-20,295.0,lib.yangcheon.go.kr/,2620-4149, ,308034.08091355173,4156838.1113519343
38,58,송파구,신천동,1,14, ,송파구 오금로 1,송파 어린이 영어 작은도서관,(사)영어도서관 문화운동, ,구립도서관,2011-12-28,595.0,www.splib.or.kr,415-3567, ,332366.0797859817,4154516.640998557
39,61,구로구,신도림동,1,294,20,구로구 신도림로 13길 51,신도림 어린이 영어 작은도서관,구로구 시설관리공단, ,구립도서관,2011-11-04,107.0,lib.guro.go.kr/,2069-0185, ,312630.2348644129,4153603.1338812634
40,62,양천구,신월동,1,425,2,양천구 오목로5길 34,신월 디지털정보도서관,양천구 (신월4동 주민센터), ,구립도서관,2006-02-21,841.0,lib.yangcheon.go.kr/,2620-4129, ,309138.06913035625,4155274.5603755047
41,63,관악구,봉천본동,1,931,7,관악구 봉천본동 931-7,실로암 복지관 점자도서관,사복)대한예수교장로회 실로암시각장애인복지회, ,장애인도서관,2000-10-24,0.0, , , ,317968.1873967666,4150449.2288898397
42,64,양천구,목5동,1,905, ,양천구 목5동 905,양천 도서관, , ,교육청도서관,1990-07-09,0.0,lib.sen.go.kr/lib_index.jsp, , ,312342.2425651903,4156178.6215397324
43,56,송파구,거여동,1,195,1,송파구 거여동 잔버들 3길,송파구 거마 도서정보센터,송파구 시설관리공단, ,구립도서관,2005-04-27,886.0,www.splib.or.kr/,02-449-2332, ,336179.7765515045,4151239.3130059633
44,65,종로구,필운동,1,287, ,종로구 사직로 96,어린이도서관, , ,교육청도서관,1979-05-04,0.0,lib.sen.go.kr/lib_index.jsp, , ,320688.95638699376,4160666.595050165
45,66,강남구,역삼1동,1,829,20,강남구 역삼로 7길 16,역삼 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,2007-10-09,396.0,library.gangnam.go.kr,02-508-1139, ,326140.64195598336,4151643.393440054
46,67,서대문구,북아현동,1,129,15,서대문구 북아현동 129-15,영광 시각장애인 모바일도서관,개인 (박광재), ,장애인도서관,2011-11-17,0.0, , , ,319550.5809243703,4158937.5313098854
47,68,영등포구,당산동,1,121,22,영등포구 당산동 121-22,영등포 평생학습관, , ,교육청도서관,1974-06-01,0.0,lib.sen.go.kr/lib_index.jsp, , ,315082.75690919755,4155346.1616690927
48,69,구로구,오류1동,1,13,15,구로구오류1동 13-15,오류 도서관,오류1동 새마을금고, ,사립도서관,1978-07-02,0.0,www.oryulib.or.kr/, , ,309239.37211025023,4152218.7118233074
49,70,용산구,후암동,1,30,90,용산구 후암동 30-90,용산 도서관, , ,교육청도서관,1981-04-21,0.0,lib.sen.go.kr/lib_index.jsp, , ,321573.93226603343,4158030.5316727385
50,71,노원구,월계동,1,598, ,노원구 월계2동 월계로 319,월계 문화정보도서관,노원 교육복지재단, ,구립도서관,2007-12-27,1963.0,www.wolgyelib.kr,02-991-0871(248), ,328467.5324099709,4166390.8490017573
51,72,관악구,봉천동,1,905,29,관악구 봉천로33나길 30,은천동 작은도서관,관악문화원, ,구립도서관,2009-12-16,457.0,www.gwanakcullib.seoul.kr,02-877-1162, ,318086.39830172027,4150700.5552253528
52,73,송파구,송파동,1,15,2,송파구 송파동 15-2,인성 시각장애인도서관,사복)다산복지회, ,장애인도서관,2000-09-14,0.0,hotlineworld.net/, , ,332551.719344242,4152874.6933231303
53,74,광진구,자양4동,1,63,1,광진구 자양4동 녹지길 58번지,자양4동 도서관,광진구 시설관리공단, ,구립도서관,2008-06-27,333.2,gwangjinlib.seoul.kr,465-0737, ,329147.3383634107,4155882.305540636
54,75,종로구,화동,1,2, ,종로구 북촌길 19,정독 도서관, , ,교육청도서관,1977-01-04,0.0,lib.sen.go.kr/lib_index.jsp, , ,321905.27388342307,4161215.8116755746
55,76,관악구,신림동,1,568,27,관악구 조원로12길 25,조원 도서관,관악문화원, ,구립도서관,2011-02-09,752.0,www.gwanakcullib.seoul.kr,02-851-5571, ,315017.49883074756,4150462.9896454858
56,77,중구,무학동,1,50,5,중구 무학동 50-5,종달새 전화도서관,사)한국 시각장애인 선교회, ,장애인도서관,1994-02-07,0.0, , , ,324696.81705629744,4159361.1469533206
57,78,강남구,역삼동,1,827,61,강남구 테헤란로8길 36?,강남 역삼 푸른솔 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,2009-06-12,568.0,library.gangnam.go.kr,02-2051-1178, ,326019.0818913144,4151772.0627708724
58,81,용산구,서계동,1,227,1,용산구 청파로 93길 27,청파 도서관,시설관리공단, ,구립도서관,2009-08-14,323.0,cheongpalib.or.kr,714-3931, ,320474.6743300865,4158266.880542472
59,82,구로구,구로동,1,390,42,구로구 구로동 구로동로13길 68,하늘 도서관,구로구 시설관리공단, ,구립도서관,2010-04-02,521.0,lib.guro.go.kr/,864-9585, ,312665.0021338758,4151057.644924207
60,83,도봉구,방학동,1,446,3,도봉구 시루봉로 128 학마을다사랑센터,학마을 다사랑센터,도봉구 시설관리공단, ,구립도서관,2009-01-30,3838.0,www.hakmaeul.or.kr,02-901-5192, ,326067.69065673626,4170152.6435026736
61,84,종로구,평창동,1,466,9,종로구 평창동 466-9,학산 기술도서관,재)학산 기술장학재단, ,사립도서관,1978-05-17,0.0,www.haksan.or.kr/, , ,321348.20409281563,4164860.9468861995
62,85,종로구,사직동,1,304,28,종로구 사직동 304-28,한국 사회과학자료관,재)에스콰이어 문화재단, ,사립도서관,1983-05-31,0.0, , , ,320246.9713656184,4160465.280174036
63,86,강동구,상일동,1,126, ,강동구 상일동 126,한국 시각장애인 복지관 점자도서관,사복)한국 시각장애인 복지재단, ,장애인도서관,1982-09-09,0.0, , , ,338263.84745619446,4157572.0427822582
64,87,강동구,암사동,1,510,23,강동구 암사동 510-23,한국 점자도서관,사)장애인과 사랑나눔 본부, ,장애인도서관,1997-04-30,0.0,infor.kbll.or.kr/, , ,334360.28033266787,4157624.1275421646
65,88,중구,묵정동,1,18,27,중구 묵정동 18-27,한국 학생도서관,재)한국대학 봉사회, ,사립도서관,1964-04-25,0.0, , , ,323546.78012980625,4158951.615075354
66,89,종로구,누하동,1,64, ,종로구 누하동 64 태평타운 402호,한국 학생 점자도서관,사복)대한예수교 장로회 실로암 시각장애인 복지회, ,장애인도서관,2009-12-11,140.0, , , ,320616.9475327076,4161146.6117579215
67,80,관악구,봉천동,1,1717,4,관악구 관악로30길 23,글빛 정보도서관,관악문화원, ,구립도서관,2006-02-27,694.0,www.gwanakcullib.seoul.kr,02-878-7460, ,319613.40424131183,4150773.3604066167
68,90,강남구,대치2동,1,980,9,강남구 영동대로 65길 24 대치2동주민센터 3층,행복한 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,2006-09-16,330.0,library.gangnam.go.kr,02-567-3833, ,328890.2714921591,4152352.660831301
69,91,서대문구,홍은1동,1,11,7,서대문구 홍은중앙로 129,홍은 도담 도서관,서대문구 도시관리공단, ,구립도서관,2011-12-22,682.0,www.sdmljalib.or.kr,02-360-8644, ,318950.11816673493,4163615.1459839186
70,92,노원구,공릉동,1,87,5,노원구 노원로 1-나길 10-1,화랑 도서관,성공회대학교 산학협력단, ,구립도서관,2010-12-01,937.2,WWW.gycent.or.kr,02-973-1318, ,330829.9365902086,4165558.9654833213
71,94,종로구,평동,1,166, ,종로구 평동 166,4.19혁명 기념도서관,4.19 부상자회 및 희생자 유족회, ,사립도서관,2000-08-29,0.0,library.419revolution.org, , ,320517.94963935635,4159771.0029250197
72,95,종로구,원서동,1,136, ,종로구 원서동 136,LG 상남 도서관,LG 문화재단, ,사립도서관,1996-04-17,0.0,www.lg.or.kr, , ,322380.17553603044,4161077.905155845
73,96,강남구,삼성동,1,28, ,강남구 삼성동 28,강남 도서관, , ,교육청도서관,1982-03-23,0.0,lib.sen.go.kr/lib_index.jsp, , ,327390.86129690567,4153706.9577152426
74,98,강동구,암사동,1,471,37,고덕로 20길 42,강동구립 암사 도서관,강동구 도시관리공단, ,구립도서관,2010-04-23,1759.05,www.gdlibrary.or.kr/aslib,02-429-0476, ,335116.66426098114,4157842.008711986
75,99,강동구,길동,1,362, ,강동구 길동 362,강동 도서관, , ,교육청도서관,1984-04-25,0.0,lib.sen.go.kr/lib_index.jsp, , ,336068.4112908408,4156204.917327247
76,100,강북구,미아동,1,754,1,강북구 큰마을길 1159,강북 청소년 문화정보센터,강북구 도시관리공단, ,구립도서관,2001-12-20,1696.42,www.gangbuklib.seoul.kr,944-3140 (944-3141), ,325413.95534894016,4165830.205068464
77,101,강서구,화곡동,1,1019, ,강서구 강서로45  다길 71,강서 푸른들 청소년도서관,학교법인 세민학원, ,구립도서관,2008-04-11,707.85,lib.gangseo.seoul.kr,2691-1630, ,308756.9849393513,4157501.002400164
78,1,강서구,방화동,1,828, ,강서구 금낭화로 24길 5,강서 길꽃 어린이도서관,영신교회 파주출판도시 문화재단, ,구립도서관,2007-01-26,592.2,lib.gangseo.seoul.kr,02-2663-4764, ,306943.2066191712,4161321.443723179
79,93,중랑구,묵동,1,22, ,중랑구 신내로 15길 197,중랑구립 정보도서관,중랑구 시설관리공단, ,구립도서관,1999-03-09,5106.0, ,02-490-9113, ,331157.6764441511,4164845.4060759167
80,2,강서구,염창동,1,281,25,강서구 공항대로 615,강서 꿈꾸는 어린이도서관,그리스도 대학교, ,구립도서관,2008-04-17,774.0,lib.gangseo.seoul.kr,02-3663-4025~6, ,312133.1624063619,4157722.2415090473
81,3,강서구,등촌동,1,520,6,강서구 등촌동 520-6,강서 도서관, , ,교육청도서관,1983-08-04,0.0,lib.sen.go.kr/lib_index.jsp, , ,310959.02368301013,4157805.127830971
82,4,강서구,화곡동,1,1159,4,강서구 우현로 34,강서 우장산 작은도서관,영신교회 파주출판도시 문화재단, ,구립도서관,2009-04-16,352.12,lib.gangseo.seoul.kr,02-2696-6690, ,309354.49715175794,4157884.24327465
83,5,강서구,공항동,1,301,13,강서구 공항동 301-13,강서 점자도서관,개인 (전명진), ,장애인도서관,2005-07-21,105.0,www.ksbl.or.kr, , ,306826.138244736,4158957.28299398
84,6,구로구,개봉3동,1,266, ,구로구 개봉로16길 30-11,개봉 도서관,구로구 시설관리공단, ,구립도서관,2010-04-30,520.63,lib.guro.go.kr,02-2689-1695, ,310670.14966953424,4151323.277994253
85,7,구로구,개봉동,1,166,9,구로구 경인로 318-15,개봉 어린이도서관,구로구 시설관리공단, ,구립도서관,2010-01-28,492.0,lib.guro.go.kr,2066-1659, ,310464.76719158667,4152141.101803261
86,8,양천구,신정동,1,915,2,양천구 철죽2길 31,개울 작은도서관,양천구 (신정4동 주민센터), ,구립도서관,2009-07-20,416.0,lib.yangcheon.go.kr,2620-4254, ,310603.1844393461,4155382.1622056635
87,9,강동구,고덕동,1,296, ,강동구 고덕동 296,고덕 평생학습관, , ,교육청도서관,1984-08-30,0.0,lib.sen.go.kr/lib_index.jsp, , ,337364.3484787947,4158390.434185153
88,10,관악구,신림동,1,209,1,관악구 신림로3길 35,관악 문화관·도서관,관악문화원, ,구립도서관,2002-10-11,6322.0,www.gwanakcullib.seoul.kr,02-887-6890 (503), ,318253.76745949336,4148721.0293474053
89,11,광진구,구의동,1,587,29,광진구 강변역로 17,광진구 의3동 작은도서관,광진구 교육지원과, ,구립도서관,2012-01-16,306.0,gwangjinlib.seoul.kr,450-1636, ,331422.5405159056,4156272.755778811
90,12,광진구,광장동,1,112, ,광진구 큰나룻길 57,광진 정보도서관,광진구 시설관리공단, ,구립도서관,2000-11-10,7283.0,gwangjinlib.seoul.kr,450-1544, ,333103.8412832654,4157686.4459841694
91,13,구로구,구로4동,1,741,27,구로구 구로동로26길 54 시설관리공단 2층,구로 꿈나무도서관,구로구 시설관리공단, ,구립도서관,2004-05-03,638.0,lib.guro.go.kr/dream,860-2383, ,313156.73873734614,4151299.1975552086
92,14,구로구,구로동,1,443, ,구로구 구로중앙로 27나길 9 온누리관 4층,구로초 구로 구립 주민전용 도서관,구로구 시설관리공단, ,구립도서관,2009-05-07,467.2,lib.guro.go.kr,858-9080, ,313121.6348156438,4152096.3978337464
93,15,서초구,서초2동,1,1336,1,서초구 서운로 62,구립 서초 어린이도서관,대한예수교 장로회 영화교회 (위탁운영), ,구립도서관,2005-02-23,400.92,www.seocholib.co.kr,02-3471-1337, ,325637.4265559213,4151263.2327850214
94,16,강남구,역삼동,1,635,1,강남구 역삼동 635-1,국립 어린이청소년도서관, , ,국립도서관,2006-06-28,8035.0,www.nlcy.go.kr, , ,325864.6055249424,4152271.5585742667
95,17,서초구,반포동,1,60,1,서초구 반포동 산60-1,국립 중앙도서관, , ,국립도서관,1945-10-15,59511.0,www.nl.go.kr, , ,323823.9043870725,4152555.6659626486
96,18,구로구,개봉동,1,105,24,구로구 고척로 27바길 7,글마루 한옥 어린이도서관,구로구 시설관리공단, ,구립도서관,2011-04-28,441.0,lib.guro.go.kr/,2615-8200, ,309576.82964724046,4153300.042247844
97,19,금천구,시흥동,1,1020, ,금천구 시흥대로 73길 70,금나래 아트홀 도서관,금천구 시설관리공단, ,구립도서관,2008-11-01,696.92,www.geumcheonlib.seoul.kr/doc_gc4/,02-2627-2992, ,313858.624106413,4147630.9173628096
98,20,금천구,가산동,1,235,3,금천구 가산로5길 43,금천구립 가산정보,금천구 시설관리공단, ,구립도서관,2007-04-09,2215.0,www.geumcheonlib.seoul.kr/doc_gc2/,02-865-6817, ,313609.5274717893,4149488.356455123
99,79,강남구,개포동,1,139, ,강남구 개포동 139,개포 도서관, , ,교육청도서관,1984-03-28,0.0,lib.sen.go.kr/lib_index.jsp, , ,329019.7296773571,4150189.1014829217
100,120,중랑구,면목본동,1,115,18,중랑구 면목로 397,중랑구립 면목 정보도서관,중랑구 시설관리공단, ,구립도서관,2005-11-11,1234.0,jnmmlib.seoul.kr,02-432-4123, ,331149.3255301932,4161752.666931299
101,102,구로구,구로5동,1,106,1,구로구 구로5동 106-1,구로 도서관, , ,교육청도서관,1984-10-08,0.0,lib.sen.go.kr/lib_index.jsp, , ,313634.844921438,4152263.398673178
102,103,금천구,독산동,1,375,2,금천구 독산로54길 114,금천구립 정보도서관,금천구 시설관리공단, ,구립도서관,1999-02-26,2204.0,geumcheonlib.seoul.kr/doc_gc/,02-863-9544, ,315005.37069987424,4148791.064087599
103,104,강남구,대치동,1,316, ,강남구 삼성로 212,대치 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,1999-02-26,580.0,library.gangnam.go.kr,02-565-6666, ,328981.43619359576,4151813.482694264
104,105,마포구,창전동,1,145,15,마포구 독막로 165,마포구립 서강도서관,사단법인 어린이도서 연구회, ,구립도서관,2008-02-17,1144.0,sglib.mapo.go.kr/,02-3141-7053, ,317325.01885258465,4157647.071991578
105,106,성동구,행당동,1,7, ,성동구 고산자로 10 3층,성동구립 무지개 도서관,성동구 도시관리공단, ,구립도서관,2006-01-10,469.0,https://www.sdlib.or.kr/rainbow/,02)2204-6492, ,326607.0367672703,4159166.548107973
106,107,송파구,잠실동,1,19,6,송파구 올림픽로 105,송파 어린이도서관,한국 지역사회교육 협의회, ,구립도서관,2009-04-30,1273.0,www.spclib.or.kr,418-0303, ,330525.83630931383,4153412.7339318716
107,108,성북구,돈암동,1,538,98,성북구 돈암동 영화의거리 5-1,아리랑 정보도서관,성북구 도시관리공단, ,구립도서관,2004-05-04,2018.0,lib.arirang.go.kr,02)3291-4990~2, ,324675.283673448,4163281.567735671
108,97,강동구,성내동,1,385, ,강동구 성안로 106-1,강동구립 성내 도서관,강동구 도시관리공단, ,구립도서관,2007-04-10,1035.0,www.gdlibrary.or.kr/snlib,02-471-0044, ,335073.48027604294,4155624.325769219
109,109,은평구,응암동,1,730,3,은평구 가좌로7길 15,응암 정보도서관,청암교회, ,구립도서관,2009-07-14,999.0,www.ealib.or.kr,02-308-2320, ,316319.4746049298,4161917.777874443
110,110,강남구,개포동,1,12,5,강남구 개포동 12-5,하상 점자도서관,사복)하상복지회, ,장애인도서관,1982-09-25,0.0, , , ,329828.8636914266,4151250.121091196
111,111,성북구,돈암동,1,609,1,성북구 성북로4길 52,해오름 어린이도서관,성북구 도시관리공단, ,구립도서관,2009-07-01,340.0,lib.arirang.go.kr/haeorm/intro.asp,02)6925-7002, ,324347.0555847242,4162720.9944780916
112,112,강동구,천호동,1,360, ,강동구 올림픽로 702,강동구립 해공 도서관,강동구 도시관리공단, ,구립도서관,2008-06-26,1932.0,www.gdlibrary.or.kr/hglib,02-478-9656, ,334485.22756256175,4156914.3128733076
113,113,도봉구,쌍문1동,1,422,2,도봉구 쌍문1동 422-2,도봉도 서관, , ,교육청도서관,1981-12-01,0.0,lib.sen.go.kr/lib_index.jsp, , ,324776.0268562173,4169178.22959062
114,114,영등포구,문래동3가,1,98,1,영등포구 문래로20길 49,문래 정보문화도서관,영등포구 도시시설관리공단, ,구립도서관,2008-11-14,1796.0,www.mllib.or.kr,02-2670-4165, ,313697.2006870039,4154224.757089764
115,115,종로구,사직동,1,1,28,종로구 사직동 1-28,종로 도서관, , ,교육청도서관,1920-11-17,0.0,lib.sen.go.kr/lib_index.jsp, , ,320499.974891011,4160708.439038267
116,116,성북구,종암동,1,16,8,성북구 종암로 98-8,종암동 새날 어린이도서관,성북구 도시관리공단, ,구립도서관,2011-02-28,581.0,sn.sblib.seoul.kr,02)6925-6920, ,326544.3789094625,4163140.0692141876
117,117,강남구,청담동,1,35,10,강남구 학동로67길 11,정다운 도서관,(사)작은도서관만드는사람들, ,구립도서관,2004-10-01,307.0,library.gangnam.go.kr,02-512-9326, ,327356.1964108904,4154250.8602499976
118,118,광진구,중곡동,1,168,8,광진구 능동로 16,중곡 문화체육센터 도서관,광진구 시설관리공단, ,구립도서관,2008-10-27,1320.0,gwangjinlib.seoul.kr,3408-4900, ,330855.99462059815,4159587.618628904
119,119,중구,신당동,1,52,164,중구 다산로38길 66-35,중구 구립 신당 도서관,시설관리공단, ,구립도서관,2011-03-24,1557.4,www.e-junggulib.or.kr,02-2280-9240, ,325031.69905414304,4159033.768760032
120,121,강남구,대치4동,1,928,22,강남구 도곡로 북49길 23,즐거운 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,2004-09-01,325.0,library.gangnam.go.kr,02-565-7533, ,328325.97109335917,4152085.209753026
121,122,은평구,증산동,1,173,8,은평구 증산로5길 6,증산 정보도서관,사회복지법인 인덕원, ,구립도서관,2008-10-09,2110.0,www.jsplib.or.kr,02-307-6030, ,315250.2492108963,4161585.911655722
122,123,강남구,청담동,1,124,1,강남구 압구정로동50길 26,청담 도서관,(사)작은도서관 만드는 사람들, ,구립도서관,1999-10-11,348.0,library.gangnam.go.kr,02-540-7042, ,327629.92864898243,4154913.0330018657
